Front;Back;Tags
O que é **Difusão facilitada**?;canais iônicos e proteínas carreadoras (transporte passivo, sem gasto energético);conhecimento-geral,biologia
O que é **Transporte ativo primário**?;bombas (ex: Na⁺/K⁺ ATPase) usam ATP diretamente;conhecimento-geral,biologia
O que é **Transporte ativo secundário**?;co-transportadores usam gradiente iônico (ex: simporte Na⁺-glicose);conhecimento-geral,biologia
O que é **Endocitose e Exocitose**?;transporte em massa via vesículas;conhecimento-geral,biologia
O que é **Envoltório Nuclear**?;Dupla membrana (externa contínua com RER) com poros nucleares (complexo do poro — ~120 nm de diâmetro, regula tráfego RNA-proteína);conhecimento-geral,biologia
O que é **Lâmina Nuclear**?;Rede de filamentos intermediários (lamina A, B, C) que dá suporte mecânico e regula transcrição;conhecimento-geral,biologia
O que é **Cromatina**?;DNA + histonas (H1, H2A, H2B, H3, H4) — eucromatina (aberta, transcricionalmente ativa) vs heterocromatina (condensada, silenciada);conhecimento-geral,biologia
O que é **Nucléolo**?;Região de transcrição do rRNA e montagem dos ribossomos (subunidades maior e menor);conhecimento-geral,biologia
O que é **Corpos de Cajal e Pontos PML**?;Subcompartimentos para processamento de RNA e regulação gênica;conhecimento-geral,biologia
O que é **Membrana externa**?;Permeável a moléculas até ~5000 Da (porina);conhecimento-geral,biologia
O que é **Espaço intermembrana**?;pH mais baixo, rico em prótons (H⁺);conhecimento-geral,biologia
O que é **Membrana interna**?;Impermeável, pregueada em cristas (aumentam superfície), contém os complexos da cadeia transportadora de elétrons;conhecimento-geral,biologia
O que é **Matriz mitocondrial**?;DNA circular, ribossomos 70S, enzimas do ciclo de Krebs;conhecimento-geral,biologia
O que é **Cisternas intermediárias**?;modificação gradual de proteínas (glicosilação, sulfatação, fosforilação);conhecimento-geral,biologia
O que é **Contatos Membrana-Membrana**?;Sítios de contato RE-mitocôndria (MAMs) regulam fluxo de lipídios e Ca²⁺;conhecimento-geral,biologia
O que é **Tráfego Vesicular**?;COPII (RE→Golgi), COPI (Golgi→RE), clatrina (Golgi→lisossomo, endocitose);conhecimento-geral,biologia
O que é **Transporte de Lipídios**?;Proteínas de transferência lipídica nos sítios de contato;conhecimento-geral,biologia
O que é **Sinalização por Ca²⁺**?;RE libera Ca²⁺, mitocôndrias captam Ca²⁺, modulando metabolismo e apoptose;conhecimento-geral,biologia
O que é **Nucleotídeos**?;cada unidade é formada por um grupo fosfato, uma pentose (desoxirribose) e uma base nitrogenada;conhecimento-geral,biologia
O que é **Bases purinas**?;Adenina (A) e Guanina (G);conhecimento-geral,biologia
O que é **Bases pirimidinas**?;Citosina (C) e Timina (T);conhecimento-geral,biologia
O que é **Ligação fosfodiéster**?;Conecta o carbono 3' de um nucleotídeo ao carbono 5' do seguinte;conhecimento-geral,biologia
O que é **B-DNA**?;forma mais comum em condições fisiológicas;conhecimento-geral,biologia
O que é **A-DNA**?;mais compacta, comum em condições de baixa hidratação;conhecimento-geral,biologia
O que é **Z-DNA**?;hélice sinistrógira (para a esquerda), possível papel regulatório;conhecimento-geral,biologia
O que é **G-quadruplex**?;estruturas formadas em regiões ricas em guanina (telômeros, promotores);conhecimento-geral,biologia
O que é **Origem de replicação**?;Sítio onde inicia a abertura da dupla-hélice (múltiplas origens em eucariotos);conhecimento-geral,biologia
O que é **Forquilha de replicação**?;Região em forma de Y onde a replicação ocorre ativamente;conhecimento-geral,biologia
O que é **Fita líder**?;Síntese contínua no sentido 5'→3' (mesmo sentido da forquilha);conhecimento-geral,biologia
O que é **Fita retardada**?;Síntese descontínua em fragmentos de Okazaki (sentido oposto à forquilha);conhecimento-geral,biologia
O que é **Telômeros**?;Regiões terminais dos cromossomos lineares, replicadas pela telomerase (evita encurtamento);conhecimento-geral,biologia
O que é **Transcriptase Reversa**?;Retrovírus (HIV) convertem RNA em DNA (RNA → DNA);conhecimento-geral,biologia
O que é **RNA Replicase**?;Alguns vírus de RNA replicam RNA diretamente (RNA → RNA);conhecimento-geral,biologia
O que é **Príons**?;Proteínas que se replicam convertendo conformação de outras proteínas (Proteína → Proteína) — desafiando o Dogma Central;conhecimento-geral,biologia
O que é **Tripleto**?;Cada códon é formado por 3 nucleotídeos (4³ = 64 combinações possíveis);conhecimento-geral,biologia
O que é **Degenerado**?;61 códon codificam aminoácidos + 3 códon de parada (stop) — mais de um códon por aminoácido;conhecimento-geral,biologia
O que é **Quase Universal**?;Mesmo código compartilhado por todos os organismos (pequenas variações em mitocôndrias e alguns protozoários);conhecimento-geral,biologia
O que é **Sem sobreposição**?;Códons consecutivos não compartilham nucleotídeos;conhecimento-geral,biologia
O que é **Quadro de leitura**?;A sequência é lida em tripletos consecutivos a partir do códon de iniciação AUG;conhecimento-geral,biologia
O que é **G₁/S**?;Verifica tamanho celular, nutrientes, danos ao DNA — ativação de Rb (gatekeeper), inativação por ciclina D-CDK4/6;conhecimento-geral,biologia
O que é **G₂/M**?;Verifica integridade do DNA e completude da replicação — CDK1-ciclina B (fator promotor de maturação, MPF);conhecimento-geral,biologia
O que é **M (spindle checkpoint)**?;Verifica correta ligação dos cinetocoros ao fuso mitótico — APC/C (complexo promotor da anáfase) ativa separase;conhecimento-geral,biologia
O que é **Ciclinas**?;Proteínas reguladoras que oscilam ao longo do ciclo (ciclina D, E, A, B);conhecimento-geral,biologia
O que é **Inibidores de CDK**?;p16, p21, p27 — paráram o ciclo em resposta a dano ou estresse;conhecimento-geral,biologia
O que é **p53**?;"""""Guardião do genoma"""" — ativa reparo e apoptose em resposta a dano no DNA; mutado em >50% dos cânceres humanos";conhecimento-geral,biologia
O que é **Anáfase A**?;Separação das cromátides irmãs (coesina clivada por separase);conhecimento-geral,biologia
O que é **Anáfase B**?;Alongamento do fuso (polos se afastam);conhecimento-geral,biologia
O que é **Leptóteno**?;Condensação dos cromossomos homólogos;conhecimento-geral,biologia
O que é **Zigóteno**?;Pareamento dos homólogos (sinapse), formação do complexo sinaptonêmico;conhecimento-geral,biologia
O que é **Paquíteno**?;Crossing-over (troca de segmentos entre cromátides não-irmãs) — mediado por Spo11, recombinases;conhecimento-geral,biologia
O que é **Diplóteno**?;Homólogos começam a se separar, visíveis quiasmas (pontos de crossing-over);conhecimento-geral,biologia
O que é **Diacinese**?;Terminalização dos quiasmas, ruptura do envelope nuclear;conhecimento-geral,biologia
O que é **PCR Multiplex**?;Múltiplos pares de primers simultâneos;conhecimento-geral,biologia
O que é **Cas9**?;Nuclease que corta o DNA (produz quebra dupla — DSB);conhecimento-geral,biologia
O que é **Prime Editing**?;"Edição """"pesquisa e substituição"""" sem DSB (Nickase Cas9 + transcriptase reversa)";conhecimento-geral,biologia
O que é **Base Editing**?;Conversão direta de bases (C→T ou A→G) sem DSB;conhecimento-geral,biologia
O que é **CRISPRa/CRISPRi**?;Ativação ou repressão transcricional (Cas9 cataliticamente inativa);conhecimento-geral,biologia
O que é **CRISPR multiplex**?;Edição simultânea de múltiplos genes;conhecimento-geral,biologia
O que é **CRISPR em organismos vivos**?;Terapias in vivo para doenças hereditárias;conhecimento-geral,biologia
O que é **Estratégias Evolucionárias (ES)**?;Foco em mutação auto-adaptativa (CMA-ES);conhecimento-geral,biologia
O que é **Programação Genética (GP)**?;Evolução de programas de computador (árvores sintáticas);conhecimento-geral,biologia
O que é **Programação Evolucionária (EP)**?;Ênfase em comportamento, não genótipo;conhecimento-geral,biologia
O que é **Neuroevolução**?;Evolução de pesos e/ou topologias de redes neurais (NEAT, HyperNEAT);conhecimento-geral,biologia
O que é **Thomas Malthus (1798)**?;*Ensaio sobre o Princípio da População* — populações crescem exponencialmente, recursos crescem linearmente → luta pela sobrevivência;conhecimento-geral,biologia
O que é **Charles Lyell (1830-1833)**?;"*Princípios de Geologia* — uniformitarismo (processos geológicos atuais são os mesmos do passado; mudanças graduais)";conhecimento-geral,biologia
O que é **Seleção artificial**?;Criadores de pombos, gado e cães selecionam características desejáveis geração após geração;conhecimento-geral,biologia
O que é **Ronald Fisher (1930)**?;*The Genetical Theory of Natural Selection* — demonstrou matematicamente que a seleção natural é compatível com a genética mendeliana;conhecimento-geral,biologia
O que é **J. B. S. Haldane (1932)**?;*The Causes of Evolution* — contribuições matemáticas e estudos de seleção natural em populações naturais;conhecimento-geral,biologia
O que é **Sewall Wright (1931-1932)**?;Desenvolveu a teoria da deriva genética e o conceito de paisagem adaptativa;conhecimento-geral,biologia
O que é **Theodosius Dobzhansky (1937)**?;*Genetics and the Origin of Species* — integrou genética experimental com teoria evolutiva;conhecimento-geral,biologia
O que é **Ernst Mayr (1942)**?;*Systematics and the Origin of Species* — conceito biológico de espécie, especiação geográfica;conhecimento-geral,biologia
O que é **Julian Huxley (1942)**?;"*Evolution: The Modern Synthesis* — cunhou o termo """"Síntese Moderna""""";conhecimento-geral,biologia
O que é **Epigenética**?;Herança de padrões de expressão gênica não codificados no DNA;conhecimento-geral,biologia
O que é **Construção de Nicho**?;Organismos modificam seu ambiente, influenciando sua própria evolução (herança ecológica);conhecimento-geral,biologia
O que é **Evolução Desenvolvimental (Evo-Devo)**?;Mudanças na regulação do desenvolvimento embrionário como fonte de inovação evolutiva;conhecimento-geral,biologia
O que é **Herança Cultural**?;Transmissão de comportamentos e conhecimentos (relevante na #Evolução Humana|evolução humana);conhecimento-geral,biologia
O que é **Evolução Multinível**?;Seleção atuando em múltiplos níveis (genes, células, organismos, grupos, espécies);conhecimento-geral,biologia
O que é **Mariposa Biston betularia (Peppered moth)**?;"Industrialização na Inglaterra escureceu troncos de árvores — mariposas escuras (forma *carbonaria*) tornaram-se predominantes por camuflagem; após leis de poluição, a forma clara retornou";conhecimento-geral,biologia
O que é **Resistência a antibióticos em bactérias**?;Evolução observada em laboratório e em hospitais — seleção direcional implacável;conhecimento-geral,biologia
O que é **Série evolutiva de cavalos (Eohippus → Equus)**?;Transição de pequeno herbívoro de múltiplos dedos para grande corredor de dedo único ao longo de 55 milhões de anos;conhecimento-geral,biologia
O que é **Fósseis de transição**?;Tiktaalik (peixe com membros, transição água-terra), Archaeopteryx (dinossauro com penas, transição ave), Pakicetus (baleia quadrúpede ancestral);conhecimento-geral,biologia
O que é **Foraminíferos**?;Registro fóssil marinho contínuo mostrando mudanças graduais na forma das conchas durante milênios;conhecimento-geral,biologia
O que é **Estruturas homólogas**?;Mesma origem embrionária, diferente função — exemplos: membros de mamíferos (braço humano, asa de morcego, nadadeira de golfinho, perna de cavalo);conhecimento-geral,biologia
O que é **Estruturas vestigiais**?;Órgãos que perderam função ao longo da evolução — apêndice humano, osso do cóccix, dente do siso, músculos das orelhas;conhecimento-geral,biologia
O que é **Órgãos vestigiais em baleias**?;Ossos pélvicos internos (remanescentes de patas traseiras quando ancestrais quadrúpedes);conhecimento-geral,biologia
O que é **Relógio molecular**?;Taxa relativamente constante de mutações neutras → estimativa de tempo de divergência entre espécies;conhecimento-geral,biologia
O que é **Genes homólogos**?;Todos os seres vivos compartilham genes básicos (RNA polimerase, ribossomos, histonas);conhecimento-geral,biologia
O que é **DNA lixo (não codificante)**?;"Sequências compartilhadas entre espécies revelam ancestralidade comum; pseudogenes inativos em humanos mas funcionais em outros primatas";conhecimento-geral,biologia
O que é **Genótipo**?;Constituição genética (AA, Aa, aa);conhecimento-geral,biologia
O que é **Fenótipo**?;Característica observável (amarelo, verde);conhecimento-geral,biologia
O que é **Homozigoto**?;Alelos idênticos (AA ou aa);conhecimento-geral,biologia
O que é **Heterozigoto**?;Alelos diferentes (Aa);conhecimento-geral,biologia
O que é **Dominante**?;Alelo que se expressa em heterozigose (A);conhecimento-geral,biologia
O que é **Recessivo**?;Alelo que só se expressa em homozigose (a);conhecimento-geral,biologia
O que é **Aptidão (fitness, W)**?;Contribuição relativa de um genótipo para a próxima geração;conhecimento-geral,biologia
O que é **Seleção contra recessivos**?;Alelo recessivo deletério pode persistir em heterozigotos (ex: fibrose cística);conhecimento-geral,biologia
O que é **Vantagem do heterozigoto**?;Heterozigoto tem fitness maior que ambos homozigotos — exemplo clássico: anemia falciforme (HbS) confere resistência à malária em heterozigotos;conhecimento-geral,biologia
O que é **Seleção dependente de frequência**?;Aptidão de um fenótipo depende de sua frequência na população (ex: peixes ciclídeos, polimorfismo de cor em lagartixas);conhecimento-geral,biologia
O que é **Efeito Gargalo**?;Redução drástica do tamanho populacional (ex: caça de elefantes-marinhos → <20 indivíduos → perda de diversidade genética);conhecimento-geral,biologia
O que é **Efeito Fundador**?;Nova população estabelecida por poucos indivíduos (ex: polinésios fundando ilhas do Pacífico, frequência de doença de Huntington na Venezuela);conhecimento-geral,biologia
O que é **Tempo de fixação**?;~4Nₑ gerações para um alelo neutro ser fixado ou perdido (Nₑ = tamanho efetivo populacional);conhecimento-geral,biologia
O que é **Efeito em genes neutros**?;Deriva genética é a principal força evolutiva sobre variação molecular não codificante;conhecimento-geral,biologia
O que é **Contrafluxo**?;Fluxo gênico mesmo em baixa taxa pode neutralizar especiação;conhecimento-geral,biologia
O que é **Efeito Wahlund**?;A estrutura populacional (subpopulações) reduz heterozigosidade observada;conhecimento-geral,biologia
O que é **Isolamento por distância**?;Correlação entre distância geográfica e diferenciação genética;conhecimento-geral,biologia
O que é **Deleção**?;Perda de segmento cromossômico;conhecimento-geral,biologia
O que é **Duplicação**?;Repetição de segmento;conhecimento-geral,biologia
O que é **Inversão**?;Segmento invertido (para-, pericêntrica);conhecimento-geral,biologia
O que é **Translocação**?;Segmento transferido para outro cromossomo (recíproca, não-recíproca, Robertsonian);conhecimento-geral,biologia
O que é **Aneuploidia**?;Número anormal de cromossomos (monossomia, trissomia);conhecimento-geral,biologia
O que é **Poliploidia**?;Múltiplos genomas completos (comum em plantas — trigo hexaploide, morangos octaploides);conhecimento-geral,biologia
O que é **Reparo de pareamento incorreto (MMR)**?;Corrige erros pós-replicativos;conhecimento-geral,biologia
O que é **Reparo por excisão de bases (BER)**?;Remoção de bases danificadas individualmente;conhecimento-geral,biologia
O que é **Reparo por excisão de nucleotídeos (NER)**?;Remoção de segmentos de DNA contendo lesões (dímeros de timina);conhecimento-geral,biologia
O que é **Reparo de quebras dupla-fita (DSBR)**?;NHEJ (propenso a erros) ou HDR (preciso);conhecimento-geral,biologia
O que é **Morfológico**?;Baseado em características fenotípicas compartilhadas;conhecimento-geral,biologia
O que é **Filogenético**?;Menor grupo monofilético diagnosticável de organismos;conhecimento-geral,biologia
O que é **Ecológico**?;Linhagens que ocupam nichos ecológicos distintos;conhecimento-geral,biologia
O que é **Isolamento ecológico/cronológico**?;Espécies vivem em habitats diferentes ou têm períodos reprodutivos diferentes;conhecimento-geral,biologia
O que é **Isolamento comportamental**?;Sinais de corte distintos não são reconhecidos (cantos de aves, feromônios de insetos);conhecimento-geral,biologia
O que é **Isolamento mecânico**?;Diferenças estruturais nos órgãos reprodutivos;conhecimento-geral,biologia
O que é **Isolamento gamético**?;Gametas incompatíveis quimicamente;conhecimento-geral,biologia
O que é **Inviabilidade do híbrido**?;O embrião híbrido não se desenvolve;conhecimento-geral,biologia
O que é **Esterilidade do híbrido**?;Híbrido adulto não produz gametas viáveis (exemplo: mula — híbrido burro × cavalo);conhecimento-geral,biologia
O que é **Degeneração do híbrido F₂**?;Híbridos F₁ são viáveis, mas F₂ são inviáveis;conhecimento-geral,biologia
O que é **Especiação gradual**?;Acúmulo lento e constante de diferenças ao longo de milhões de anos;conhecimento-geral,biologia
O que é **Equilíbrio pontuado (Eldredge & Gould, 1972)**?;Longos períodos de estase evolutiva interrompidos por surtos rápidos de especiação;conhecimento-geral,biologia
O que é **Tolerância à lactose**?;Mutações no gene LCT (persistência da lactase) selecionadas em pastores ~7.000 anos atrás na Europa, África e Arábia;conhecimento-geral,biologia
O que é **Pigmentação da pele**?;Variação em SLC24A5, SLC45A2, MC1R → adaptação à latitude (vitamina D vs proteção UV);conhecimento-geral,biologia
O que é **Altitude**?;Variantes em EPAS1 compartilhadas com denisovanos conferem adaptação à altitude em tibetanos;conhecimento-geral,biologia
O que é **Resistência a malária**?;Alelo HbS (anemia falciforme) e G6PD (deficiência) selecionados em regiões endêmicas;conhecimento-geral,biologia
O que é **Adaptação alimentar**?;Amilase salivar (AMY1) mais cópias em populações com dieta rica em amido;conhecimento-geral,biologia
O que é **Cultura material**?;Ferramentas de pedra (Olduvaiense 2,5 Ma → Acheulense 1,7 Ma → Musteriense 300 ka → Paleolítico Superior 50 ka), cerâmica, metalurgia;conhecimento-geral,biologia
O que é **Símbolos e arte**?;Primeiras manifestações simbólicas há ~100.000 anos (contas de concha), arte rupestre há ~40.000 anos (Chauvet, Lascaux);conhecimento-geral,biologia
O que é **Revolução Neolítica (~10.000 a.C.)**?;Agricultura e domesticação de animais → sedentarismo → aumento populacional → civilizações complexas;conhecimento-geral,biologia
O que é **Evolução cultural cumulativa**?;Conhecimento acumulado transmitido entre gerações — permitindo adaptação a todos os ambientes do planeta e além;conhecimento-geral,biologia
O que é **ES for RL**?;Usa ES para otimizar pesos de redes neurais em reinforcement learning;conhecimento-geral,biologia
O que é **OpenAI ES (2017)**?;Surpreendentemente competitivo com métodos baseados em gradiente (PPO, A3C) em benchmarks de RL;conhecimento-geral,biologia
O que é **Encéfalo**?;Cérebro, cerebelo, tronco encefálico (mesencéfalo, ponte, bulbo);conhecimento-geral,biologia
O que é **Medula Espinhal**?;Conecta encéfalo ao corpo, contém circuitos reflexos;conhecimento-geral,biologia
O que é **Sistema Somático**?;Nervos sensitivos (aferentes) e motores (eferentes) — controle voluntário;conhecimento-geral,biologia
O que é **Sistema Autônomo**?;Controle involuntário;conhecimento-geral,biologia
O que é **Corpo celular (soma)**?;Núcleo e organelas;conhecimento-geral,biologia
O que é **Dendritos**?;Prolongamentos que recebem sinais de outros neurônios;conhecimento-geral,biologia
O que é **Axônio**?;Prolongamento que conduz o potencial de ação até o terminal sináptico;conhecimento-geral,biologia
O que é **Bainha de mielina**?;Isolamento elétrico produzido por oligodendrócitos (SNC) e células de Schwann (SNP);conhecimento-geral,biologia
O que é **Nódulos de Ranvier**?;Regiões sem mielina entre segmentos — condução saltatória;conhecimento-geral,biologia
O que é **Elétrica**?;Junções comunicantes (gap junctions) — transmissão rápida, bidirecional;conhecimento-geral,biologia
O que é **Química**?;Liberação de neurotransmissores na fenda sináptica (mais comum no SNC);conhecimento-geral,biologia
O que é **Glutamato**?;Principal excitatório do SNC;conhecimento-geral,biologia
O que é **Dopamina**?;Recompensa, motivação, movimento — vias mesolímbica, mesocortical;conhecimento-geral,biologia
O que é **Serotonina**?;Humor, sono, apetite;conhecimento-geral,biologia
O que é **Acetilcolina**?;Ativação cortical, memória, junção neuromuscular;conhecimento-geral,biologia
O que é **Noradrenalina**?;Atenção, alerta, resposta simpática;conhecimento-geral,biologia
O que é **Córtex cerebral**?;Substância cinzenta (corpos de neurônios) — 6 camadas;conhecimento-geral,biologia
O que é **Corpo caloso**?;Maior comissura inter-hemisférica (~200 milhões de fibras);conhecimento-geral,biologia
O que é **Gânglios da base**?;Putâmen, caudado, globo pálido — controle motor fino;conhecimento-geral,biologia
O que é **Sistema límbico**?;Hipocampo (memória), amígdala (emoção), giro do cíngulo;conhecimento-geral,biologia
O que é **Mesencéfalo**?;Reflexos visuais e auditivos, controle motor;conhecimento-geral,biologia
O que é **Ponte**?;Conexão entre cérebro e cerebelo, sono REM, respiração;conhecimento-geral,biologia
O que é **Bulbo**?;Centro cardiovascular e respiratório — lesão = morte súbita;conhecimento-geral,biologia
O que é **LTP (Long-Term Potentiation)**?;Fortalecimento persistente de sinapses (fundamento da memória), mediado por receptores NMDA e AMPA;conhecimento-geral,biologia
O que é **LTD (Long-Term Depression)**?;Enfraquecimento sináptico — essencial para aprendizado e eliminação de conexões;conhecimento-geral,biologia
O que é **Neurogênese adulta**?;Formação de novos neurônios no hipocampo (giro denteado);conhecimento-geral,biologia
O que é **Átrio direito**?;Recebe sangue venoso do corpo (veia cava superior e inferior);conhecimento-geral,biologia
O que é **Ventrículo direito**?;Bombeia sangue para pulmões (tronco pulmonar);conhecimento-geral,biologia
O que é **Átrio esquerdo**?;Recebe sangue oxigenado dos pulmões (veias pulmonares);conhecimento-geral,biologia
O que é **Ventrículo esquerdo**?;Bombeia sangue para o corpo (aorta) — parede mais espessa, maior pressão;conhecimento-geral,biologia
O que é **Sístole**?;Contração → ejeção de sangue (0,3 s);conhecimento-geral,biologia
O que é **Diástole**?;Relaxamento → enchimento (0,5 s);conhecimento-geral,biologia
O que é **Débito cardíaco (DC)**?;Volume ejetado por minuto = FC × VS (frequência cardíaca × volume sistólico);conhecimento-geral,biologia
O que é **Pressão arterial**?;Sistólica 120 / Diastólica 80 mmHg (valores normais);conhecimento-geral,biologia
O que é **Difusão**?;O₂, CO₂, nutrientes (através do endotélio);conhecimento-geral,biologia
O que é **Equilíbrio**?;Normalmente filtração > reabsorção — excesso drenado por vasos linfáticos;conhecimento-geral,biologia
O que é **Pequena Circulação (Pulmonar)**?;VD → artérias pulmonares → pulmões → veias pulmonares → AE;conhecimento-geral,biologia
O que é **Grande Circulação (Sistêmica)**?;VE → aorta → artérias → capilares → veias → cavas → AD;conhecimento-geral,biologia
O que é **Circulação Portal**?;Sistema porta-hepático (intestino → fígado — processamento de nutrientes);conhecimento-geral,biologia
O que é **Alvéolos**?;~300 milhões — superfície de ~70-100 m² (área de troca gasosa);conhecimento-geral,biologia
O que é **Centro respiratório**?;Bulbo (grupo respiratório dorsal e ventral);conhecimento-geral,biologia
O que é **Quimiorreceptores centrais**?;Bulbo — sensíveis a CO₂ (via pH do LCR);conhecimento-geral,biologia
O que é **Quimiorreceptores periféricos**?;Corpo carotídeo e corpo aórtico — sensíveis a O₂ ↓, CO₂ ↑, pH ↓;conhecimento-geral,biologia
O que é **Mecanorreceptores**?;Pulmões (Hering-Breuer — inibição inspiratória por hiperinsuflação);conhecimento-geral,biologia
O que é **Duodeno**?;Recebe quimo ácido → secreção pancreática (bicarbonato, enzimas) e bile;conhecimento-geral,biologia
O que é **Jejuno e Íleo**?;Absorção de nutrientes — vilosidades (enterócitos) + microvilosidades (borda em escova);conhecimento-geral,biologia
O que é **Hipotálamo**?;Produz hormônios liberadores (RH) e inibidores (IH) que controlam a hipófise;conhecimento-geral,biologia
O que é **Feedback negativo**?;O hormônio ou seu efeito inibe sua própria liberação (mecanismo dominante);conhecimento-geral,biologia
O que é **Feedback positivo**?;O hormônio amplifica sua própria liberação (ocitocina no parto);conhecimento-geral,biologia
O que é **Ritmos biológicos**?;Circadianos (cortisol: pico matinal), ultradianos (GH, LH pulsáteis);conhecimento-geral,biologia
O que é **Transporte**?;"Hormônios hidrossolúveis (peptídeos, catecolaminas) — dissolvidos no plasma; hormônios lipossolúveis (esteroides, tireoidianos) — ligados a proteínas carreadoras";conhecimento-geral,biologia
O que é **Estresse agudo**?;SNA simpático → adrenalina (segundos);conhecimento-geral,biologia
