Front;Back;Tags
Qual a limitação fundamental do SHAP quanto à independência de features?;SHAP assume independência entre features ao calcular contribuições. Na prática, features correlacionadas (ex: idade e priors_count) podem gerar atribuições enganosas. Isso pode levar a interpretações incorretas quando há multicolinearidade.;xai,shap
O que significa a sigla LIME?;LIME significa Local Interpretable Model-agnostic Explanations. É um método que aproxima localmente o modelo complexo por um modelo interpretável (geralmente regressão linear ou Lasso) na vizinhança da instância a ser explicada.;xai,lime
Qual a base teórica do LIME?;LIME não tem base teórica profunda como SHAP. Ele funciona criando um modelo linear simples localmente ao redor da predição que se quer explicar. É mais heurístico e intuitivo, mas menos rigoroso teoricamente.;xai,lime
Descreva o processo do LIME em 4 passos.;1) Gera amostras perturbadas ao redor da instância original. 2) Calcula a distância das amostras ao ponto original (kernel exponencial). 3) Obtém predições do modelo black-box para cada amostra. 4) Treina um modelo linear ponderado pelas distâncias.;xai,lime
Qual a limitação fundamental do LIME?;O modelo linear local é apenas uma aproximação — se a fronteira de decisão for muito não linear na vizinhança, a explicação pode ser infiel. A qualidade da explicação depende de quão bem um modelo linear aproxima a região local.;xai,lime
O LIME é estável entre execuções?;NÃO. O LIME tem baixa estabilidade — executar LIME duas vezes na mesma instância pode gerar explicações diferentes porque o processo envolve amostragem aleatória (semente aleatória influencia). Recomenda-se executar múltiplas vezes e verificar consistência.;xai,lime
Qual a complexidade computacional do LIME?;O LIME tem complexidade O(n_samples * n_features). É geralmente mais rápido que o KernelExplainer do SHAP, mas não oferece as mesmas garantias teóricas de consistência e unicidade.;xai,lime
Em quais domínios o LIME é mais recomendado?;O LIME é mais recomendado para explicações rápidas e para domínios de texto e imagem, onde sua abordagem de perturbação local funciona bem. SHAP é preferível quando se busca rigor teórico, especialmente em modelos tree-based.;xai,lime
Como interpretar a saída visual do LIME?;No LIME, cada barra mostra o peso da feature na decisão local. Laranja/Verde = features que favorecem a classe predita. Azul/Vermelho = features que desfavorecem. Diferente do SHAP, o LIME mostra faixas de valores (ex: "priors_count > 3").;xai,lime
Qual a principal diferença entre SHAP e LIME quanto à consistência?;SHAP é consistente e determinístico (especialmente com TreeExplainer), garantindo monotonicidade. LIME não é consistente — pode variar entre execuções porque depende de amostragem aleatória e diferentes configurações de kernel.;xai,lime,shap
Qual a principal diferença entre SHAP e LIME quanto ao escopo?;SHAP oferece explicações locais (instância específica) e globais (importância geral das features via Summary Plot). LIME oferece apenas explicações locais — não há um mecanismo intrínseco para visão global do modelo.;xai,lime,shap
Para que modelos cada SHAP Explainer é mais adequado? (TreeExplainer, KernelExplainer, GradientExplainer);TreeExplainer: RandomForest, XGBoost, LightGBM (mais rápido). KernelExplainer: qualquer modelo (model-agnostic, lento). GradientExplainer: redes neurais diferenciáveis (aproximação via gradientes).;xai,shap
O que significa a sigla COMPAS?;COMPAS significa Correctional Offender Management Profiling for Alternative Sanctions. É um algoritmo comercial desenvolvido pela Northpointe (atualmente Equivant) usado por tribunais nos EUA para avaliar probabilidade de reincidência de réus.;fairness,compas
O que a ProPublica descobriu sobre o COMPAS em 2016?;A ProPublica descobriu que o COMPAS apresentava viés racial significativo: réus negros eram quase 2x mais prováveis de serem falsamente classificados como alto risco (FP: 44,85% vs 23,45%) e réus brancos eram ~1,7x mais prováveis de serem falsamente classificados como baixo risco (FN: 47,72% vs 27,99%).;fairness,compas
Qual a taxa de Falso Positivo (FP) para réus negros e brancos no COMPAS segundo a ProPublica?;Negros: 44,85% de FP (classificados como alto risco mas não reincidiram). Brancos: 23,45% de FP. Réus negros eram quase 2x mais prováveis de sofrer falsos positivos.;fairness,compas
Qual a taxa de Falso Negativo (FN) para réus negros e brancos no COMPAS?;Negros: 27,99% de FN (classificados como baixo risco mas reincidiram). Brancos: 47,72% de FN. Réus brancos eram ~1,7x mais prováveis de sofrer falsos negativos.;fairness,compas
Qual a acurácia geral do COMPAS e para reincidência violenta?;Acurácia geral: 61%. Para reincidência violenta: apenas 20%. O algoritmo era pouco melhor que uma moeda justa para predizer reincidência em geral, e muito pior para casos violentos.;fairness,compas
Qual foi a defesa da Northpointe (criadora do COMPAS) contra as acusações da ProPublica?;A Northpointe alegou que a métrica correta não é FP/FN, mas sim a calibração (equal calibration): se o score 7 tem a mesma probabilidade de reincidência para negros e brancos, o algoritmo é justo. Também criticaram o threshold usado pela ProPublica (decile_score >= 5 como alto risco).;fairness,compas
Por que o debate COMPAS revelou que ambas as partes estavam corretas?;ProPublica usou Equalized Odds (TPR e FPR iguais entre grupos) → COMPAS falha. Northpointe usou Calibration (probabilidade predita = probabilidade real para cada grupo) → COMPAS passa. Não existe definição universal de fairness — a escolha da métrica é uma decisão ética e política.;fairness,compas
Segundo a regressão logística da ProPublica, réus negros eram quantos % mais propensos a receber pontuação alta?;Réus negros: 45% mais propensos a receber pontuação alta (controlando por idade, gênero e histórico criminal). Para reincidência violenta: 77% mais propensos. Jovens (<25 anos): 2,5x mais propensos.;fairness,compas
Quais as 5 principais lições do caso COMPAS?;1) Viés de label/measurement: target mede apenas crimes com prisão. 2) Proxies: raça não precisa estar no modelo (CEP, escolaridade atuam como proxies). 3) Transparência: algoritmo proprietário → impossível auditar. 4) Escolha de métrica é política. 5) Impacto real: réus negros recebem sentenças mais longas baseadas em scores inflados.;fairness,compas,ethics
O que é "viés de label" ou "measurement bias" no contexto do COMPAS?;O target "reincidência" mede apenas crimes que resultaram em prisão, não crimes reais. Como negros são mais policiados, há mais prisões → mais registros → target enviesado. O modelo reflete o viés do sistema de justiça, não apenas dos dados.;fairness,compas
O que é Disparate Impact e qual a "Regra dos 80%"?;Disparate Impact é a razão entre a taxa de outcomes positivos do grupo desprivilegiado e do grupo privilegiado: DI = P(Ŷ=1|despriv) / P(Ŷ=1|priv). A Regra dos 80% (Four-Fifths Rule) diz que DI >= 0.80 é aceitável; DI < 0.80 indica impacto desproporcional.;fairness
O que é Demographic Parity (Paridade Demográfica)?;Demographic Parity exige que a probabilidade de um outcome positivo seja igual entre grupos: P(Ŷ=1|A=privilegiado) = P(Ŷ=1|A=desprivilegiado). Diferença ideal = 0. É uma das métricas mais simples e intuitivas de fairness.;fairness
O que é Equal Opportunity (Oportunidade Igual)?;Equal Opportunity exige que a Taxa de Verdadeiros Positivos (TPR/Recall) seja igual entre os grupos. O modelo deve ser igualmente bom em identificar quem realmente terá o outcome positivo, independentemente do grupo protegido.;fairness
O que é Equalized Odds (Chances Equalizadas)?;Equalized Odds exige que TPR e FPR sejam iguais entre os grupos. É a métrica usada pela ProPublica na análise do COMPAS. A diferença ideal é 0, calculada como a média das diferenças de TPR e FPR entre grupos.;fairness
Qual a diferença entre Predictive Parity e Equalized Odds?;Predictive Parity exige que a precisão (PPV) seja igual entre grupos: o score tem o mesmo significado preditivo. Equalized Odds exige que TPR e FPR sejam iguais. Kleinberg et al. (2016) provaram que é impossível satisfazer Calibration, Equalized Odds e Predictive Parity simultaneamente (exceto em casos triviais).;fairness
O que é Fairness Through Unawareness e por que é insuficiente?;Fairness Through Unawareness é a abordagem de remover atributos protegidos (raça, gênero) do modelo para eliminar viés. É INSUFICIENTE porque features correlacionadas (CEP, escolaridade, histórico criminal) atuam como proxies do atributo sensível.;fairness
Quais os principais algoritmos de mitigação de viés e seus tipos?;Pré-processamento: Reweighing (pesos), Optimized Preprocessing. In-processing: Adversarial Debiasing, Exponentiated Gradient. Pós-processamento: Reject Option Classification, Calibrated Equalized Odds, Threshold Optimizer, GridSearch.;fairness
O que é a biblioteca AIF360 e o que ela oferece?;AIF360 (AI Fairness 360) é uma biblioteca da IBM que oferece 70+ métricas de fairness e 10+ algoritmos de mitigação de viés (pré, in e pós-processamento). Inclui datasets built-in como COMPAS, Adult e German Credit.;fairness
O que é a biblioteca Fairlearn e quem a desenvolveu?;Fairlearn é uma biblioteca da Microsoft que oferece métricas de fairness (demographic_parity_difference, equalized_odds_difference) e mitigadores integrados com sklearn (ExponentiatedGradient, ThresholdOptimizer, GridSearch).;fairness
O que significa Accountability no contexto de IA?;Accountability é a possibilidade de atribuir responsabilidade por decisões do sistema a pessoas ou organizações. Responde: "Quem responde por esta decisão?" A conta não pode ficar na máquina — humanos devem ser responsabilizáveis.;ethics,accountability
Quais são os três pilares inseparáveis da IA Responsável?;1) XAI (Explainability): explicar decisões do modelo. 2) Fairness: ausência de viés sistemático contra grupos protegidos. 3) Accountability: atribuição de responsabilidade. São interdependentes: sem XAI não é possível auditar fairness; sem accountability não há incentivo para implementar XAI e fairness.;ethics,accountability,xai, fairness
O que diz o AI Act Europeu Art. 13, 14 e 86 sobre XAI e transparência?;Art. 13: Transparência e fornecimento de informações a operadores. Art. 14: Supervisão humana — XAI alimenta o processo de supervisão. Art. 86: Direito à explicação para decisões individuais de alto risco tomadas por sistemas de IA.;ethics,accountability,law
O que diz o GDPR Art. 22 sobre decisões automatizadas?;GDPR Art. 22: O cidadão tem direito a não ficar sujeito a decisões baseadas unicamente em processamento automatizado (incluindo perfilação) que produzam efeitos legais. Garante o direito à revisão humana e a informações significativas sobre a lógica utilizada.;ethics,accountability,law
O que foi o caso SCHUFA no Tribunal de Justiça da União Europeia (2023)?;O CJEU decidiu que o score de crédito da SCHUFA constitui uma "decisão automatizada" nos termos do GDPR Art. 22, dando ao consumidor o direito à explicação e revisão humana. Foi um marco para o direito à explicação na Europa.;ethics,accountability,law
O que aconteceu no caso Amazon Recruiting (2018)?;A Amazon desenvolveu uma ferramenta de recrutamento baseada em IA que aprendeu a penalizar currículos femininos porque foi treinada em dados históricos de 10 anos que refletiam domínio masculino na tecnologia. O projeto foi cancelado e ninguém foi formalmente responsabilizado.;ethics,accountability
O que aconteceu no caso Apple Card (2019)?;O Apple Card ofereceu limites de crédito menores para mulheres do que para homens com o mesmo perfil financeiro, mesmo quando as mulheres tinham melhor score de crédito. O caso expôs viés de gênero em modelos de crédito algorítmicos.;ethics,fairness
Qual a diferença entre "faithfulness" e "plausibility" em XAI?;Faithfulness (fidelidade): a explicação representa com precisão o comportamento real do modelo. Plausibility (plausibilidade): a explicação faz sentido para humanos. Uma explicação pode ser plausível mas infiel, ou fiel mas não intuitiva. Não há consenso sobre como medir qualidade de explicação.;xai,ethics
O que significa "XAI não é causal"?;SHAP e LIME explicam correlações aprendidas pelo modelo, não relações causais. Um modelo pode aprender que "guarda-chuva aberto" prediz "chuva", mas a explicação SHAP mostrará guarda-chuva como preditor, não a causa real (chuva). Métodos causais são necessários para inferência causal.;xai,ethics
O que é o trade-off acurácia vs. fairness?;Mitigar viés geralmente reduz a acurácia geral do modelo. Exemplo COMPAS: após mitigação, balanced accuracy caiu de 67,7% para 66,1%, mas disparate impact melhorou de 0,66 para 0,81. A questão central é: qual o "preço justo" a pagar por fairness?;fairness,ethics,accountability
O que prova o teorema de Kleinberg et al. (2016) sobre fairness?;Kleinberg et al. provaram que é impossível satisfazer simultaneamente Calibration (significado do score igual entre grupos), Equalized Odds (TPR/FPR iguais) e Predictive Parity (PPV igual), exceto em casos triviais (prevalência igual ou modelo perfeito). Isso mostra que a escolha de métrica é inevitavelmente política.;fairness,ethics
O que é a ISO/IEC 42001:2023?;É o Sistema de Gestão de IA (AI Management System) certificável. Estabelece requisitos para governança de IA incluindo inventário de sistemas, mapeamento de funções, registro de atividades e processos de accountability. É alinhado com AI Act e GDPR.;ethics,accountability,law
Quais os principais datasets públicos para estudos de fairness além do COMPAS?;Adult Income (renda >50K, 48.842 amostras), German Credit (risco de crédito, 1.000 amostras), Bank Marketing (depósito a prazo, 45.211 amostras), Communities & Crime (criminalidade, 1.994 amostras), Health Heritage (diabetes, 3.000+).;fairness
Qual a diferença entre explicabilidade intrínseca (white-box) e post-hoc (black-box)? Dê exemplos.;Intrínseca: o modelo é interpretável por natureza (árvores de decisão, regressão linear, GAMs/EBMs, Rule Lists). Post-hoc: aplicam-se métodos após o treino para explicar modelos complexos (SHAP, LIME, contrafactuais, Grad-CAM, PDP, ALE).;xai
O que são métodos contrafactuais em XAI e qual sua principal vantagem?;Contrafactuais (ex: DiCE, Alibi) respondem: "Qual a menor mudança nos inputs que alteraria a decisão do modelo?" Vantagem: são intuitivos para humanos (raciocínio contrafactual é natural). Ex: "Se você tivesse renda >50K, seu empréstimo seria aprovado.";xai
Qual o relatório/disclosure obrigatório para sistemas de alto risco segundo o AI Act (FRIA)?;FRIA (Fundamental Rights Impact Assessment) é uma avaliação obrigatória de impacto em direitos fundamentais para sistemas de IA classificados como alto risco (Anexo III do AI Act). Deve ser realizada antes da implantação e inclui análise de riscos de discriminação, privacidade e exclusão.;ethics,accountability,law
